,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
143,143,"1,4-dioxane",291.483,1,C1COCCO1,patel10
144,144,"(2,2-dimethyl-1,3-dioxolan-4-yl)methanol",267.039,1,CC1(C)OCC(CO)O1,patel10
145,145,2-methylfuran,243.15,1,Cc1ccco1,patel10
146,146,tetrahydrofuran,247.594,1,C1CCOC1,patel10
147,147,tetrahydropyran,253.15,1,C1CCOCC1,patel10
148,148,methoxybenzene,324.817,1,COc1ccccc1,patel10
149,149,"1,2-bis(2-methoxyethoxy)ethane",386.15,1,COCCOCCOCCOC,patel10
150,150,2-(phenoxymethyl)oxirane,388.15,1,c1ccc(OCC2CO2)cc1,patel10
151,151,2-methoxy-2-methylbutane,262.15,1,CCC(C)(C)OC,patel10
152,152,2-(2-hydroxyethoxy)ethanol,416.15,1,OCCOCCO,patel10
153,153,ethoxyethylene,228.15,1,C=COCC,patel10
154,154,allyloxybenzene,335.15,1,C=CCOc1ccccc1,patel10
155,155,2-methoxy-2-methylpropane,245.15,1,COC(C)(C)C,patel10
156,156,phenylmethoxymethylbenzene,408.15,1,c1ccc(COCc2ccccc2)cc1,patel10
157,157,1-chloro-2-(2-chloroethoxy)ethane,328.15,1,ClCCOCCCl,patel10
158,158,1-chloro-2-methoxyethane,288.15,1,COCCCl,patel10
159,159,1-[2-(2-butoxyethoxy)ethoxy]butane,374.15,1,CCCCOCCOCCOCCCC,patel10
160,160,3-allyloxyprop-1-ene,266.15,1,C=CCOCC=C,patel10
161,161,1-chloro-4-(phenoxy)benzene,386.15,1,Clc1ccc(Oc2ccccc2)cc1,patel10
162,162,1-isopentyloxy-3-methylbutane,319.15,1,CC(C)CCOCCC(C)C,patel10
163,163,2-(allyloxymethyl)oxirane,321.15,1,C=CCOCC1CO1,patel10
164,164,chloro-(chloromethoxy)methane,292.15,1,ClCOCCl,patel10
165,165,2-(butoxymethyl)oxirane,314.15,1,CCCCOCC1CO1,patel10
166,166,1-chloro-1-(1-chloroethoxy)ethane,328.15,1,CC(Cl)OC(C)Cl,patel10
167,167,1-butoxybutane,298.15,1,CCCCOCCCC,patel10
168,168,"1,2-dimethoxybenzene",345.15,1,COc1ccccc1OC,patel10
169,169,"1,2-dimethoxyethane",271.15,1,COCCOC,patel10
170,170,"(3S,3aR,6R,6aR)-3,6-dimethoxy-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan",376.15,1,CO[C@H]1CO[C@@H]2[C@H](OC)CO[C@H]12,patel10
171,171,phenoxybenzene,388.15,1,c1ccc(Oc2ccccc2)cc1,patel10
172,172,"1,3,5-trioxane",318.15,1,C1OCOCO1,patel10
173,173,ethoxyethylene,227.15,1,C=COCC,patel10
184,184,acetamide,315.15,1,CC(N)=O,patel10
185,185,1-(2-pyridyl)ethanone,349.15,1,CC(=O)c1ccccn1,patel10
186,186,2-(bis(2-hydroxyethyl)amino)ethanol,452.15,1,OCCN(CCO)CCO,patel10
187,187,prop-2-en-1-amine,245.15,1,C=CCN,patel10
188,188,6-methyl-2-pyridinamine,376.15,1,Cc1cccc(N)n1,patel10
189,189,2-(2-aminoethoxy)ethanol,400.15,1,NCCOCCO,patel10
190,190,2-pyridinamine,236.15,1,Nc1ccccn1,patel10
191,191,aniline,343.15,1,Nc1ccccc1,patel10
192,192,phenylmethanamine,345.15,1,NCc1ccccc1,patel10
193,193,3-bromopyridine,324.15,1,Brc1cccnc1,patel10
194,194,butan-2-amine,254.15,1,CCC(C)N,patel10
195,195,2-methylpropan-2-amine,235.15,1,CC(C)(C)N,patel10
196,196,3-chloroaniline,391.15,1,Nc1cccc(Cl)c1,patel10
197,197,2-chloroaniline,371.15,1,Nc1ccccc1Cl,patel10
198,198,2-chloropyridine,337.15,1,Clc1ccccn1,patel10
199,199,"2,4,6-trimethylpyridine",330.15,1,Cc1cc(C)nc(C)c1,patel10
200,200,2-pyridinecarbonitrile,362.15,1,N#Cc1ccccn1,patel10
201,201,3-pyridinecarbonitrile,357.15,1,N#Cc1cccnc1,patel10
202,202,4-pyridinecarbonitrile,361.15,1,N#Cc1ccncc1,patel10
203,203,1-cyclohexyl-2-pyrrolidinone,418.15,1,O=C1CCCN1C1CCCCC1,patel10
204,204,cyclohexanamine,300.15,1,NC1CCCCC1,patel10
205,205,N-pentylpentan-1-amine,277.15,1,CCCCCNCCCCC,patel10
206,206,"2,6-ditert-butylpyridine",345.15,1,CC(C)(C)c1cccc(C(C)(C)C)n1,patel10
207,207,"ethane-1,2-diamine",330.35,1,NCCN,patel10
208,208,N-cyclohexylcyclohexanamine,376.15,1,C1CCC(NC2CCCCC2)CC1,patel10
209,209,"N,N-diethylacetamide",343.15,1,CCN(CC)C(C)=O,patel10
210,210,N-ethylethanamine,245.15,1,CCNCC,patel10
211,211,2-diethylaminoethanol,324.65,1,CCN(CC)CCO,patel10
212,212,diethylcyanamide,342.15,1,CCN(C#N)CC,patel10
213,213,"N-(2-aminoethyl)ethane-1,2-diamine",363.15,1,NCCNCCN,patel10
214,214,"N,N-diethylformamide",333.15,1,CCN(C=O)CC,patel10
215,215,1-(2-hydroxypropylamino)propan-2-ol,399.15,1,CC(O)CNCC(C)O,patel10
216,216,N-isopropylpropan-2-amine,266.15,1,CC(C)NC(C)C,patel10
217,217,N-methylmethanamine,255.15,1,CNC,patel10
218,218,"N,N-dimethylaniline",336.15,1,CN(C)c1ccccc1,patel10
219,219,2-dimethylaminoethanol,313.15,1,CN(C)CCO,patel10
220,220,"N,N-dimethylformamide",330.15,1,CN(C)C=O,patel10
221,221,"3,5-dimethylpiperidine",294.65,1,CC1CNCC(C)C1,patel10
222,222,heptan-2-amine,327.15,1,CCCCCC(C)N,patel10
223,223,heptan-1-amine,317.15,1,CCCCCCCN,patel10
