compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin,is_acid
n-Heptyltrichlorosilane,337.15,1,C(CCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
n-Hexylmethyldichlorosilane,358.15,1,C(CCCCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Vinylmethyldiethoxysilane,289.15,1,C(=C)C[SiH](OCC)OCC,chen14,1,1,0,0
N-(Trimethylsilyl)morpholine,300.15,1,C[Si](N1CCOCC1)(C)C,chen14,1,1,0,0
t-Butoxytrimethylsilane,287.15,1,C(C)(C)(C)O[Si](C)(C)C,chen14,1,1,0,0
(1-Methoxy-2-propoxy)trimethylsilane,293.15,1,COCC(C)O[Si](C)(C)C,chen14,1,1,0,0
Methyltriethoxysilane,297.15,1,C[Si](OCC)(OCC)OCC,chen14,1,1,0,0
(Diethylamino)trimethylsilane,283.15,1,C(C)N(CC)[Si](C)(C)C,chen14,1,1,0,0
Bis(trimethylsilyl)methane,285.15,1,C[Si](C)(C)C[Si](C)(C)C,chen14,1,1,0,0
Heptamethyldisilazane,300.15,1,C[Si](N([Si](C)(C)C)C)(C)C,chen14,1,1,0,0
Bis(trimethylsiloxy)methylsilane,296.15,1,C[Si](OC(O[Si](C)(C)C)[SiH3])(C)C,chen14,1,1,0,0
Tetravinylsilane,291.15,1,C(=C)[Si](C=C)(C=C)C=C,chen14,1,1,0,0
Cyclopentadienyltrimethylsilane,302.15,1,C1(C=CC=C1)[Si](C)(C)C,chen14,1,1,0,0
(Cyclopentenyloxy)trimethylsilane,311.15,1,C1(=CCCC1)O[Si](C)(C)C,chen14,1,1,0,0
"(2,4-Pentadienyl)trimethylsilane",291.15,1,C(C=CC=C)[Si](C)(C)C,chen14,1,1,0,0
n-Octyltrichlorosilane,369.15,1,C(CCCCCCC)[Si](Cl)(Cl)Cl,chen14,1,1,0,0
n-Heptylmethyldichlorosilane,339.15,1,C(CCCCCC)[Si](Cl)(Cl)C,chen14,1,1,0,0
Tetramethyldivinyldisiloxane,292.15,1,C[Si](O[Si](C=C)(C=C)C)(C)C,chen14,1,1,0,0
Triethylacetoxysilane,314.15,1,C(C)C(C(=O)O[SiH3])(CC)CC,chen14,1,1,0,0
Vinyltriethoxysilane,307.15,1,C(=C)[Si](OCC)(OCC)OCC,chen14,1,1,0,0
"1,3-Divinyltetramethyldisilazane",307.15,1,C(=C)[Si](N[Si](C=C)(C)C)(C)C,chen14,1,1,0,0
Diethyldiethoxysilane,316.15,1,C(C)[Si](OCC)(OCC)CC,chen14,1,1,0,0
Tetraethoxysilane,323.15,1,C(C)O[Si](OCC)(OCC)OCC,chen14,1,1,0,0
Tetraethylsilane,305.15,1,C(C)[Si](CC)(CC)CC,chen14,1,1,0,0
Aminoethylaminopropyltrimethoxysilane,269.15,1,NCCNCCC[Si](OC)(OC)OC,chen14,1,1,0,0
