,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
134,134,n-Octyldimethylchlorosilane,370.0,1,C(CCCCCCC)[Si](Cl)(C)C,pan12
135,135,Bis(diethylamino)dimethylsilane,308.0,1,C(C)N(CC)[Si](C)(C)N(CC)CC,pan12
136,136,Decamethyltetrasiloxane,335.0,1,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,pan12
137,137,Decamethylcyclopentasiloxane,350.0,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,pan12
142,142,Diphenylsilane,371.0,1,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,pan12
143,143,Tetramethyltetravinylcyclotetrasilane,385.0,1,C[Si]1([Si]([Si]([Si]1(C=C)C)(C=C)C)(C=C)C)C=C,pan12
144,144,n-Dodecyltrichlorosilane,435.0,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,pan12
145,145,Hexaethyldisiloxane,349.0,1,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,pan12
146,146,Dodecamethylpentasiloxane,352.0,1,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,pan12
147,147,Dodecamethylcyclohexasiloxane,366.0,1,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,pan12
148,148,Methyldiphenylchlorosilane,411.0,1,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,pan12
149,149,n-Dodecylmethyldichlorosilane,416.0,1,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,pan12
150,150,Diphenyldimethoxysilane,394.0,1,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,pan12
151,151,Octyltriethoxysilane,373.0,1,C(CCCCCCC)[Si](OCC)(OCC)OCC,pan12
152,152,Tetradecamethylhexasiloxane,375.0,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,pan12
153,153,n-Octadecyltrichlorosilane,466.0,1,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,pan12
154,154,Octadecamethyloctasiloxane,417.0,1,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,pan12
155,155,Vinyltrichlorosilane,294.0,1,C(=C)[Si](Cl)(Cl)Cl,pan12
156,156,Ethylsilane,213.0,1,C(C)[SiH3],pan12
158,158,Trimethylfluorosilane,238.0,1,C[Si](F)(C)C,pan12
160,160,Trimethylsilylisothiocyanate,308.0,1,C[Si](C)(C)N=C=S,pan12
161,161,Methoxytrimethylsilane,243.0,1,CO[Si](C)(C)C,pan12
163,163,Tetraisocyanatosilane,323.0,1,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,pan12
164,164,sec-Amyltrichlorosilane,303.0,1,C(C)(CCC)[Si](Cl)(Cl)Cl,pan12
165,165,Vinyltrimethoxysilane,296.0,1,C(=C)[Si](OC)(OC)OC,pan12
166,166,Ethoxytrimethylsilane,246.0,1,C(C)O[Si](C)(C)C,pan12
